,Fold,Algorithm,Label,Model,MAE
0,0,2,Precision,random_forest,6.024897319048779
1,1,2,Precision,random_forest,5.98987888475136
2,2,2,Precision,random_forest,5.952034842687465
3,3,2,Precision,random_forest,7.046465766773978
4,4,2,Precision,random_forest,6.339429734942559
5,5,2,Precision,random_forest,1.757409413627933
6,6,2,Precision,random_forest,6.53501607812501
7,7,2,Precision,random_forest,3.813731302173263
8,8,2,Precision,random_forest,4.642957236479216
9,9,2,Precision,random_forest,13.390570347433007
10,10,2,Precision,random_forest,7.152952603534491
11,11,2,Precision,random_forest,17.03715033840884
12,12,2,Precision,random_forest,6.4972228730596795
13,13,2,Precision,random_forest,10.433867034032478
14,14,2,Precision,random_forest,13.946760962353464
15,15,2,Precision,random_forest,11.027937378483614
16,16,2,Precision,random_forest,14.773068756899578
17,17,2,Precision,random_forest,13.051964004227727
18,18,2,Precision,random_forest,4.188537391335752
19,19,2,Precision,random_forest,42.36196695453597
20,20,2,Precision,random_forest,4.651759876178224
21,21,2,Precision,random_forest,10.187786301825074
22,22,2,Precision,random_forest,4.561289757007796
23,23,2,Precision,random_forest,5.5859153732083735
24,24,2,Precision,random_forest,11.387039499520299
25,25,2,Precision,random_forest,13.225084596851937
26,26,2,Precision,random_forest,3.2421041890649414
27,27,2,Precision,random_forest,7.315289653753549
28,28,2,Precision,random_forest,5.739614501437036
29,29,2,Precision,random_forest,4.436331807389144
30,30,2,Precision,random_forest,8.815378139683864
31,31,2,Precision,random_forest,4.292412610184304
32,32,2,Precision,random_forest,3.352805877975476
33,33,2,Precision,random_forest,5.916544991352183
34,34,2,Precision,random_forest,3.8923086246260765
35,35,2,Precision,random_forest,15.248399829867566
36,36,2,Precision,random_forest,3.7034945445427376
37,37,2,Precision,random_forest,4.388456148080432
38,38,2,Precision,random_forest,2.862235155218889
39,39,2,Precision,random_forest,5.9424960154168405
40,40,2,Precision,random_forest,3.485159505747492
41,41,2,Precision,random_forest,7.445496434744527
42,42,2,Precision,random_forest,29.286860953272523
43,43,2,Precision,random_forest,5.384552180927159
44,44,2,Precision,random_forest,3.7214757464219708
45,45,2,Precision,random_forest,6.83857349309872
46,46,2,Precision,random_forest,3.2567401894612478
47,47,2,Precision,random_forest,4.661225250673251
48,48,2,Precision,random_forest,3.451765031164992
49,49,2,Precision,random_forest,7.259974337008553
