,Fold,Algorithm,Label,Model,MAE
0,0,9,Precision,random_forest,76.69703845027318
1,1,9,Precision,random_forest,382.8446830798245
2,2,9,Precision,random_forest,199.32810132793853
3,3,9,Precision,random_forest,172.86159266660857
4,4,9,Precision,random_forest,112.83982971396415
5,5,9,Precision,random_forest,29.262475924561386
6,6,9,Precision,random_forest,333.74648055051404
7,7,9,Precision,random_forest,195.59316704460264
8,8,9,Precision,random_forest,40.378181477239536
9,9,9,Precision,random_forest,314.1457322057731
10,10,9,Precision,random_forest,172.50494426715622
11,11,9,Precision,random_forest,79.09077808894945
12,12,9,Precision,random_forest,168.91159124137775
13,13,9,Precision,random_forest,154.122733227147
14,14,9,Precision,random_forest,184.00333392589914
15,15,9,Precision,random_forest,71.51808314929558
16,16,9,Precision,random_forest,85.0804348343547
17,17,9,Precision,random_forest,98.93174976542032
18,18,9,Precision,random_forest,211.04574719454754
19,19,9,Precision,random_forest,213.85184617941852
20,20,9,Precision,random_forest,397.2957006104104
21,21,9,Precision,random_forest,146.035262265316
22,22,9,Precision,random_forest,128.31221202949487
23,23,9,Precision,random_forest,220.0978334299241
24,24,9,Precision,random_forest,145.1211592976143
25,25,9,Precision,random_forest,244.40731565425938
26,26,9,Precision,random_forest,138.65261965747905
27,27,9,Precision,random_forest,212.90436667275753
28,28,9,Precision,random_forest,134.62794797701008
29,29,9,Precision,random_forest,23.7083239009421
30,30,9,Precision,random_forest,143.24899098865353
31,31,9,Precision,random_forest,176.6309162001818
32,32,9,Precision,random_forest,575.9242619839963
33,33,9,Precision,random_forest,185.02726272018535
34,34,9,Precision,random_forest,219.73636186134604
35,35,9,Precision,random_forest,358.68244103677733
36,36,9,Precision,random_forest,317.56315319060246
37,37,9,Precision,random_forest,37.46629303973507
38,38,9,Precision,random_forest,238.47124309993112
39,39,9,Precision,random_forest,381.374427389726
40,40,9,Precision,random_forest,261.1523877382806
41,41,9,Precision,random_forest,216.29828197287463
42,42,9,Precision,random_forest,276.940260176296
43,43,9,Precision,random_forest,116.85776772616013
44,44,9,Precision,random_forest,91.27235237071584
45,45,9,Precision,random_forest,63.9119592560502
46,46,9,Precision,random_forest,112.97392297520143
47,47,9,Precision,random_forest,158.37222762171078
48,48,9,Precision,random_forest,88.31033518791328
49,49,9,Precision,random_forest,108.6084142344652
