,Fold,Algorithm,Label,Model,MAE
0,0,6,Precision,random_forest,10.57833496882317
1,1,6,Precision,random_forest,23.057221657543163
2,2,6,Precision,random_forest,13.10297806907145
3,3,6,Precision,random_forest,24.656381790202165
4,4,6,Precision,random_forest,18.96835117694042
5,5,6,Precision,random_forest,14.841403264819645
6,6,6,Precision,random_forest,19.569240401369136
7,7,6,Precision,random_forest,33.56034641642402
8,8,6,Precision,random_forest,15.42970040421222
9,9,6,Precision,random_forest,26.30653744433833
10,10,6,Precision,random_forest,22.845835766525607
11,11,6,Precision,random_forest,23.744769027328203
12,12,6,Precision,random_forest,22.51798380918811
13,13,6,Precision,random_forest,19.75561681018669
14,14,6,Precision,random_forest,47.621854454281845
15,15,6,Precision,random_forest,19.25621196044932
16,16,6,Precision,random_forest,20.859898933116288
17,17,6,Precision,random_forest,25.49183738874864
18,18,6,Precision,random_forest,15.322779207338428
19,19,6,Precision,random_forest,62.81145343506515
20,20,6,Precision,random_forest,13.350885870385726
21,21,6,Precision,random_forest,19.14467980237023
22,22,6,Precision,random_forest,15.001097265146337
23,23,6,Precision,random_forest,14.969318781134666
24,24,6,Precision,random_forest,21.36234490731505
25,25,6,Precision,random_forest,18.516574413019864
26,26,6,Precision,random_forest,11.373717634208738
27,27,6,Precision,random_forest,21.621200130698114
28,28,6,Precision,random_forest,13.121572117442303
29,29,6,Precision,random_forest,6.329801188039139
30,30,6,Precision,random_forest,19.218684796055232
31,31,6,Precision,random_forest,17.27733274588771
32,32,6,Precision,random_forest,12.744638987462826
33,33,6,Precision,random_forest,22.09313573617959
34,34,6,Precision,random_forest,28.16534472620003
35,35,6,Precision,random_forest,34.19173235457078
36,36,6,Precision,random_forest,27.350608665814608
37,37,6,Precision,random_forest,13.731423015162301
38,38,6,Precision,random_forest,18.601502085268763
39,39,6,Precision,random_forest,16.77471732328812
40,40,6,Precision,random_forest,19.917942842529552
41,41,6,Precision,random_forest,17.489810128445875
42,42,6,Precision,random_forest,46.28732172918249
43,43,6,Precision,random_forest,30.16708037742997
44,44,6,Precision,random_forest,16.91052083079973
45,45,6,Precision,random_forest,28.714660679522723
46,46,6,Precision,random_forest,13.620284441093345
47,47,6,Precision,random_forest,16.481308393853652
48,48,6,Precision,random_forest,15.605267012561212
49,49,6,Precision,random_forest,15.35172649785997
