,Fold,Algorithm,Label,Model,MAE
0,0,11,Precision,random_forest,38.145734404468826
1,1,11,Precision,random_forest,50.64640929891143
2,2,11,Precision,random_forest,28.59497569450318
3,3,11,Precision,random_forest,48.05942435104086
4,4,11,Precision,random_forest,69.36521886941982
5,5,11,Precision,random_forest,55.30661301259807
6,6,11,Precision,random_forest,38.13260297827427
7,7,11,Precision,random_forest,36.88686492150201
8,8,11,Precision,random_forest,30.837535899312957
9,9,11,Precision,random_forest,28.210736149265927
10,10,11,Precision,random_forest,17.01248794506714
11,11,11,Precision,random_forest,86.65449313406039
12,12,11,Precision,random_forest,18.54697862830424
13,13,11,Precision,random_forest,26.617076035052502
14,14,11,Precision,random_forest,37.157911122446706
15,15,11,Precision,random_forest,43.42139241265962
16,16,11,Precision,random_forest,33.01135795176881
17,17,11,Precision,random_forest,90.3252371160455
18,18,11,Precision,random_forest,44.29552456746479
19,19,11,Precision,random_forest,65.25927657039954
20,20,11,Precision,random_forest,27.191433683245197
21,21,11,Precision,random_forest,23.941671276662703
22,22,11,Precision,random_forest,76.27718580209688
23,23,11,Precision,random_forest,47.48774688029609
24,24,11,Precision,random_forest,18.05842643817465
25,25,11,Precision,random_forest,35.41267848833866
26,26,11,Precision,random_forest,4.105087818518634
27,27,11,Precision,random_forest,19.050119227711818
28,28,11,Precision,random_forest,13.105949239218964
29,29,11,Precision,random_forest,18.568884873266118
30,30,11,Precision,random_forest,53.27582139306386
31,31,11,Precision,random_forest,26.81668844618927
32,32,11,Precision,random_forest,52.78542361855216
33,33,11,Precision,random_forest,23.072366956918753
34,34,11,Precision,random_forest,42.86533979326614
35,35,11,Precision,random_forest,31.847195904946982
36,36,11,Precision,random_forest,33.7434890602992
37,37,11,Precision,random_forest,7.8550630200908955
38,38,11,Precision,random_forest,58.34753721014169
39,39,11,Precision,random_forest,13.43972912983194
40,40,11,Precision,random_forest,21.403514101191117
41,41,11,Precision,random_forest,13.734097433509026
42,42,11,Precision,random_forest,66.94722103040051
43,43,11,Precision,random_forest,24.467666298175732
44,44,11,Precision,random_forest,23.451993489779
45,45,11,Precision,random_forest,33.41048485035834
46,46,11,Precision,random_forest,41.271905628870165
47,47,11,Precision,random_forest,23.759328501981642
48,48,11,Precision,random_forest,21.996145347181084
49,49,11,Precision,random_forest,33.470028274800804
