,Fold,Algorithm,Label,Model,MAE
0,0,8,Precision,random_forest,5.14548421876032
1,1,8,Precision,random_forest,7.025451513503602
2,2,8,Precision,random_forest,5.979311476943969
3,3,8,Precision,random_forest,5.352762644428183
4,4,8,Precision,random_forest,7.842438399435359
5,5,8,Precision,random_forest,5.3129289643603625
6,6,8,Precision,random_forest,3.1828320640970738
7,7,8,Precision,random_forest,10.143763922161881
8,8,8,Precision,random_forest,2.0297219129140305
9,9,8,Precision,random_forest,16.508812013439577
10,10,8,Precision,random_forest,11.096925557049184
11,11,8,Precision,random_forest,18.457687841371726
12,12,8,Precision,random_forest,4.14931832871333
13,13,8,Precision,random_forest,9.410967582797655
14,14,8,Precision,random_forest,10.688578663677148
15,15,8,Precision,random_forest,7.887709083995088
16,16,8,Precision,random_forest,13.843972745370934
17,17,8,Precision,random_forest,9.06844650703186
18,18,8,Precision,random_forest,1.8772233065748207
19,19,8,Precision,random_forest,42.18667135063523
20,20,8,Precision,random_forest,2.7490375610842706
21,21,8,Precision,random_forest,9.218693717352782
22,22,8,Precision,random_forest,9.18277283058636
23,23,8,Precision,random_forest,3.682964747178021
24,24,8,Precision,random_forest,15.63282024792531
25,25,8,Precision,random_forest,12.45011169827824
26,26,8,Precision,random_forest,5.622724498897825
27,27,8,Precision,random_forest,2.6279079947432407
28,28,8,Precision,random_forest,3.7270565065301873
29,29,8,Precision,random_forest,2.7789172585443302
30,30,8,Precision,random_forest,8.079886837740895
31,31,8,Precision,random_forest,7.246498339121392
32,32,8,Precision,random_forest,3.444580757308271
33,33,8,Precision,random_forest,5.140660792137932
34,34,8,Precision,random_forest,2.7573429071101256
35,35,8,Precision,random_forest,8.683328584072525
36,36,8,Precision,random_forest,13.272794615757485
37,37,8,Precision,random_forest,5.000090040828979
38,38,8,Precision,random_forest,3.339410565833384
39,39,8,Precision,random_forest,9.169203314179363
40,40,8,Precision,random_forest,3.3151455759747246
41,41,8,Precision,random_forest,5.687090857478812
42,42,8,Precision,random_forest,27.470546042754297
43,43,8,Precision,random_forest,8.393580147331821
44,44,8,Precision,random_forest,4.05340378006413
45,45,8,Precision,random_forest,6.32807301485614
46,46,8,Precision,random_forest,5.525462938079863
47,47,8,Precision,random_forest,2.5766172932381983
48,48,8,Precision,random_forest,3.0916789919108942
49,49,8,Precision,random_forest,5.884159479570307
