,Fold,Algorithm,Label,Model,MAE
0,0,10,Precision,random_forest,8.191012131483417
1,1,10,Precision,random_forest,24.140430847730727
2,2,10,Precision,random_forest,24.073019613839957
3,3,10,Precision,random_forest,31.976560333942654
4,4,10,Precision,random_forest,22.614604757988662
5,5,10,Precision,random_forest,27.837260114570686
6,6,10,Precision,random_forest,12.151586299363338
7,7,10,Precision,random_forest,43.87513336961958
8,8,10,Precision,random_forest,12.449144888515006
9,9,10,Precision,random_forest,20.63103769256234
10,10,10,Precision,random_forest,21.963943017228
11,11,10,Precision,random_forest,61.22024252104952
12,12,10,Precision,random_forest,30.882688439608955
13,13,10,Precision,random_forest,26.180243199528444
14,14,10,Precision,random_forest,41.04675344517886
15,15,10,Precision,random_forest,18.56455755506552
16,16,10,Precision,random_forest,39.136436507789426
17,17,10,Precision,random_forest,37.26282288286267
18,18,10,Precision,random_forest,16.991262067557816
19,19,10,Precision,random_forest,61.26836359025248
20,20,10,Precision,random_forest,13.179413024065175
21,21,10,Precision,random_forest,34.04608480787259
22,22,10,Precision,random_forest,28.581915775445136
23,23,10,Precision,random_forest,34.706125774263036
24,24,10,Precision,random_forest,25.13201141115574
25,25,10,Precision,random_forest,36.58507941567604
26,26,10,Precision,random_forest,17.096909003873876
27,27,10,Precision,random_forest,26.55449068350198
28,28,10,Precision,random_forest,15.61920104477631
29,29,10,Precision,random_forest,43.756529779803174
30,30,10,Precision,random_forest,38.344673337559904
31,31,10,Precision,random_forest,33.23994126656594
32,32,10,Precision,random_forest,23.80064090330831
33,33,10,Precision,random_forest,22.57258087379722
34,34,10,Precision,random_forest,10.340058521133594
35,35,10,Precision,random_forest,33.686431865152265
36,36,10,Precision,random_forest,21.41409636006253
37,37,10,Precision,random_forest,11.29408473056648
38,38,10,Precision,random_forest,38.73039619563738
39,39,10,Precision,random_forest,23.35591732124263
40,40,10,Precision,random_forest,30.969253971866127
41,41,10,Precision,random_forest,21.75640514656406
42,42,10,Precision,random_forest,52.464593211747115
43,43,10,Precision,random_forest,11.523076835460103
44,44,10,Precision,random_forest,17.765842823847095
45,45,10,Precision,random_forest,24.910461454878924
46,46,10,Precision,random_forest,28.463932758786573
47,47,10,Precision,random_forest,28.6735336288701
48,48,10,Precision,random_forest,23.223772644903487
49,49,10,Precision,random_forest,27.300035489024253
