,Fold,Algorithm,Label,Model,MAE
0,0,7,Precision,random_forest,2.985870260176791
1,1,7,Precision,random_forest,8.322128236504195
2,2,7,Precision,random_forest,2.560895928679766
3,3,7,Precision,random_forest,5.988227437270709
4,4,7,Precision,random_forest,10.49839341955043
5,5,7,Precision,random_forest,7.650052171811949
6,6,7,Precision,random_forest,1.2416938096384913
7,7,7,Precision,random_forest,6.867103863512149
8,8,7,Precision,random_forest,3.7555739481724135
9,9,7,Precision,random_forest,13.275458720327455
10,10,7,Precision,random_forest,6.831533569290316
11,11,7,Precision,random_forest,15.884398358787642
12,12,7,Precision,random_forest,1.4131827893539468
13,13,7,Precision,random_forest,7.992672636672389
14,14,7,Precision,random_forest,11.603720623149139
15,15,7,Precision,random_forest,7.1200819930202295
16,16,7,Precision,random_forest,16.597687362341116
17,17,7,Precision,random_forest,9.402280230985273
18,18,7,Precision,random_forest,2.3669263424731213
19,19,7,Precision,random_forest,41.965858969706396
20,20,7,Precision,random_forest,2.6592951536887317
21,21,7,Precision,random_forest,10.768261243461376
22,22,7,Precision,random_forest,6.691216061445736
23,23,7,Precision,random_forest,7.956290017997126
24,24,7,Precision,random_forest,17.664180210920033
25,25,7,Precision,random_forest,8.542120892943762
26,26,7,Precision,random_forest,3.219038700400373
27,27,7,Precision,random_forest,1.9640485169670026
28,28,7,Precision,random_forest,11.825669220720501
29,29,7,Precision,random_forest,0.7121626903964341
30,30,7,Precision,random_forest,10.786540892037534
31,31,7,Precision,random_forest,4.9613094643171385
32,32,7,Precision,random_forest,8.516601710861647
33,33,7,Precision,random_forest,3.7904367083316353
34,34,7,Precision,random_forest,4.392925087703417
35,35,7,Precision,random_forest,8.019440850490566
36,36,7,Precision,random_forest,10.740233051594076
37,37,7,Precision,random_forest,3.2065858433979764
38,38,7,Precision,random_forest,2.4112310247602413
39,39,7,Precision,random_forest,8.680761725620656
40,40,7,Precision,random_forest,8.277435196949357
41,41,7,Precision,random_forest,2.9772119591372523
42,42,7,Precision,random_forest,30.706187616717315
43,43,7,Precision,random_forest,6.75564523605852
44,44,7,Precision,random_forest,5.744745255705946
45,45,7,Precision,random_forest,5.414966318360194
46,46,7,Precision,random_forest,4.923416533874046
47,47,7,Precision,random_forest,1.9970691745398115
48,48,7,Precision,random_forest,4.241959812521805
49,49,7,Precision,random_forest,3.6712847752269187
