,Fold,Algorithm,Label,Model,MAE
0,0,14,Precision,random_forest,6.763096577615045
1,1,14,Precision,random_forest,6.504098630092876
2,2,14,Precision,random_forest,3.664838639773979
3,3,14,Precision,random_forest,6.55032295788783
4,4,14,Precision,random_forest,5.202333792853212
5,5,14,Precision,random_forest,2.947612382384568
6,6,14,Precision,random_forest,1.2870073238216284
7,7,14,Precision,random_forest,9.203440396956069
8,8,14,Precision,random_forest,2.917119222801384
9,9,14,Precision,random_forest,11.543139369966688
10,10,14,Precision,random_forest,4.43561229225523
11,11,14,Precision,random_forest,18.229178845445713
12,12,14,Precision,random_forest,3.4935637493700735
13,13,14,Precision,random_forest,14.67779985835818
14,14,14,Precision,random_forest,11.006185814096739
15,15,14,Precision,random_forest,4.957873774623233
16,16,14,Precision,random_forest,14.73069795507456
17,17,14,Precision,random_forest,9.574550732421057
18,18,14,Precision,random_forest,0.9975242311420605
19,19,14,Precision,random_forest,41.11536224836774
20,20,14,Precision,random_forest,7.148203605597602
21,21,14,Precision,random_forest,10.243972764613979
22,22,14,Precision,random_forest,4.498381322444469
23,23,14,Precision,random_forest,3.45587667839465
24,24,14,Precision,random_forest,14.221273250014226
25,25,14,Precision,random_forest,9.61657718863121
26,26,14,Precision,random_forest,5.480893360912788
27,27,14,Precision,random_forest,3.3327107479348874
28,28,14,Precision,random_forest,4.955694115594791
29,29,14,Precision,random_forest,1.8231661968940844
30,30,14,Precision,random_forest,14.148708422932797
31,31,14,Precision,random_forest,7.547506098652271
32,32,14,Precision,random_forest,4.187479051471466
33,33,14,Precision,random_forest,3.9421276107304988
34,34,14,Precision,random_forest,4.96632464340349
35,35,14,Precision,random_forest,6.729884945428586
36,36,14,Precision,random_forest,12.195232726982452
37,37,14,Precision,random_forest,4.599483322343023
38,38,14,Precision,random_forest,3.7449943271320136
39,39,14,Precision,random_forest,8.076214677676308
40,40,14,Precision,random_forest,11.687138617721047
41,41,14,Precision,random_forest,6.943004243079845
42,42,14,Precision,random_forest,26.529116608877484
43,43,14,Precision,random_forest,5.3373254295628785
44,44,14,Precision,random_forest,5.4547221686054925
45,45,14,Precision,random_forest,5.839383924093905
46,46,14,Precision,random_forest,1.7437904741630614
47,47,14,Precision,random_forest,1.8092804361052972
48,48,14,Precision,random_forest,1.3301059625020637
49,49,14,Precision,random_forest,2.8704240293843504
