,Fold,Algorithm,Label,Model,MAE
0,0,0,Precision,random_forest,21.285059377787316
1,1,0,Precision,random_forest,13.509224394487026
2,2,0,Precision,random_forest,14.025413716500251
3,3,0,Precision,random_forest,19.366772057186825
4,4,0,Precision,random_forest,26.698538877351
5,5,0,Precision,random_forest,15.420116542524546
6,6,0,Precision,random_forest,13.82889844315735
7,7,0,Precision,random_forest,41.140619303790636
8,8,0,Precision,random_forest,19.92069651605789
9,9,0,Precision,random_forest,28.002103730788473
10,10,0,Precision,random_forest,22.281161926846707
11,11,0,Precision,random_forest,40.748287836372704
12,12,0,Precision,random_forest,22.249554421944335
13,13,0,Precision,random_forest,23.80390285980398
14,14,0,Precision,random_forest,27.054102564699207
15,15,0,Precision,random_forest,21.230291878425096
16,16,0,Precision,random_forest,27.707970379364184
17,17,0,Precision,random_forest,39.21460921223915
18,18,0,Precision,random_forest,16.154131565043723
19,19,0,Precision,random_forest,73.77528514421239
20,20,0,Precision,random_forest,15.169069606714027
21,21,0,Precision,random_forest,25.18032870577424
22,22,0,Precision,random_forest,22.09449524793411
23,23,0,Precision,random_forest,19.462991391089453
24,24,0,Precision,random_forest,24.504093044108316
25,25,0,Precision,random_forest,24.760741967196292
26,26,0,Precision,random_forest,15.498493672514696
27,27,0,Precision,random_forest,10.881758222843045
28,28,0,Precision,random_forest,13.539559227432429
29,29,0,Precision,random_forest,14.954497009364081
30,30,0,Precision,random_forest,11.727864802031691
31,31,0,Precision,random_forest,14.29908463474994
32,32,0,Precision,random_forest,19.198622466050434
33,33,0,Precision,random_forest,19.988493769900874
34,34,0,Precision,random_forest,19.467968591416575
35,35,0,Precision,random_forest,39.172532177297185
36,36,0,Precision,random_forest,21.929881866337286
37,37,0,Precision,random_forest,21.400057797338004
38,38,0,Precision,random_forest,27.73229720488332
39,39,0,Precision,random_forest,17.6577916999111
40,40,0,Precision,random_forest,26.33545241260715
41,41,0,Precision,random_forest,16.755708465859342
42,42,0,Precision,random_forest,47.94288676634748
43,43,0,Precision,random_forest,18.321618925888522
44,44,0,Precision,random_forest,18.190365505124007
45,45,0,Precision,random_forest,26.983660847869714
46,46,0,Precision,random_forest,16.849661435815985
47,47,0,Precision,random_forest,17.11291869438532
48,48,0,Precision,random_forest,11.55231419962565
49,49,0,Precision,random_forest,28.28753846094686
