,Fold,Algorithm,Label,Model,MAE
0,0,1,Precision,random_forest,10.084962273167973
1,1,1,Precision,random_forest,10.162664744031625
2,2,1,Precision,random_forest,7.688659259574659
3,3,1,Precision,random_forest,14.489436844383453
4,4,1,Precision,random_forest,11.48570197407726
5,5,1,Precision,random_forest,9.509627614597793
6,6,1,Precision,random_forest,5.722698273567002
7,7,1,Precision,random_forest,11.225102941412631
8,8,1,Precision,random_forest,6.748726480189442
9,9,1,Precision,random_forest,18.218918085226978
10,10,1,Precision,random_forest,17.738037056426645
11,11,1,Precision,random_forest,25.758055101621313
12,12,1,Precision,random_forest,13.680504894545733
13,13,1,Precision,random_forest,8.960125523300281
14,14,1,Precision,random_forest,20.195624158665627
15,15,1,Precision,random_forest,12.877255635441173
16,16,1,Precision,random_forest,17.693591844324455
17,17,1,Precision,random_forest,15.988202569353966
18,18,1,Precision,random_forest,3.623132504932258
19,19,1,Precision,random_forest,42.24237432161784
20,20,1,Precision,random_forest,12.850926803738327
21,21,1,Precision,random_forest,9.762821613106427
22,22,1,Precision,random_forest,10.829743998164878
23,23,1,Precision,random_forest,11.197899582201652
24,24,1,Precision,random_forest,15.896627870479719
25,25,1,Precision,random_forest,12.258298227845856
26,26,1,Precision,random_forest,4.764566004763222
27,27,1,Precision,random_forest,16.332454076842534
28,28,1,Precision,random_forest,5.994920322178403
29,29,1,Precision,random_forest,9.210420955139165
30,30,1,Precision,random_forest,15.553071728800546
31,31,1,Precision,random_forest,6.558657164974033
32,32,1,Precision,random_forest,10.025626087671682
33,33,1,Precision,random_forest,14.963668877605699
34,34,1,Precision,random_forest,4.8864991833604465
35,35,1,Precision,random_forest,14.701509804774616
36,36,1,Precision,random_forest,12.105855272168165
37,37,1,Precision,random_forest,11.883160559868841
38,38,1,Precision,random_forest,10.279393265372883
39,39,1,Precision,random_forest,17.95749135788769
40,40,1,Precision,random_forest,8.631029074605989
41,41,1,Precision,random_forest,15.3540476254174
42,42,1,Precision,random_forest,37.98444168983013
43,43,1,Precision,random_forest,4.95378449818313
44,44,1,Precision,random_forest,12.076413341491845
45,45,1,Precision,random_forest,14.352265170650606
46,46,1,Precision,random_forest,9.84538290508746
47,47,1,Precision,random_forest,15.462136770558013
48,48,1,Precision,random_forest,9.741024730047803
49,49,1,Precision,random_forest,12.976110279405837
