,Fold,Algorithm,Label,Model,MAE
0,0,13,Precision,random_forest,5.340844591792738
1,1,13,Precision,random_forest,6.8866892965337625
2,2,13,Precision,random_forest,4.117388814079278
3,3,13,Precision,random_forest,6.401866934502259
4,4,13,Precision,random_forest,7.2148053504016465
5,5,13,Precision,random_forest,3.3455504265305787
6,6,13,Precision,random_forest,1.049721122580306
7,7,13,Precision,random_forest,9.353267155209663
8,8,13,Precision,random_forest,4.8081442334948585
9,9,13,Precision,random_forest,12.521215973034623
10,10,13,Precision,random_forest,7.078479154138106
11,11,13,Precision,random_forest,14.131712879314472
12,12,13,Precision,random_forest,0.7800582568364862
13,13,13,Precision,random_forest,7.585272998748216
14,14,13,Precision,random_forest,7.995998310785832
15,15,13,Precision,random_forest,7.731784817128371
16,16,13,Precision,random_forest,12.418474541087237
17,17,13,Precision,random_forest,6.388989181273693
18,18,13,Precision,random_forest,1.158521259167758
19,19,13,Precision,random_forest,41.950490486197616
20,20,13,Precision,random_forest,4.359971474057421
21,21,13,Precision,random_forest,7.5231230931985165
22,22,13,Precision,random_forest,4.695607528702599
23,23,13,Precision,random_forest,5.0855399983439415
24,24,13,Precision,random_forest,13.101104690526762
25,25,13,Precision,random_forest,11.064843310949486
26,26,13,Precision,random_forest,4.221675963085591
27,27,13,Precision,random_forest,2.8500940876860863
28,28,13,Precision,random_forest,7.594617076422547
29,29,13,Precision,random_forest,1.5747893161633035
30,30,13,Precision,random_forest,7.146741743907309
31,31,13,Precision,random_forest,2.3184983037229725
32,32,13,Precision,random_forest,3.37425294850449
33,33,13,Precision,random_forest,6.07409214904451
34,34,13,Precision,random_forest,2.7382001512163274
35,35,13,Precision,random_forest,9.203132535159686
36,36,13,Precision,random_forest,13.676310590869653
37,37,13,Precision,random_forest,3.668385540822253
38,38,13,Precision,random_forest,7.327791949115454
39,39,13,Precision,random_forest,6.123656675018903
40,40,13,Precision,random_forest,7.2612741454684055
41,41,13,Precision,random_forest,5.309432181192975
42,42,13,Precision,random_forest,27.85141093541777
43,43,13,Precision,random_forest,7.002327541393399
44,44,13,Precision,random_forest,4.34221105655693
45,45,13,Precision,random_forest,8.462146866037736
46,46,13,Precision,random_forest,4.638767161731393
47,47,13,Precision,random_forest,1.1194161311602524
48,48,13,Precision,random_forest,4.110577429101754
49,49,13,Precision,random_forest,3.593059362475047
