	0	1
0	37000.4	6.866576729311772e-05
1	42483.7	3.4466129058433284e-05
2	46464.7	3.99197342607688e-05
3	43553.9	7.23323233437853e-05
4	39613.6	5.098462615576385e-05
5	50000.0	5.8332297906840916e-05
6	50000.0	1.2435061694834277e-05
7	40032.9	2.050724061809492e-06
8	47243.6	3.961337986005935e-05
9	46665.2	1.3924481522275303e-05
10	43293.6	2.562058066893738e-05
11	50000.0	3.518846908630438e-05
12	46828.6	4.7461372677383845e-05
13	39783.4	1.98522068209004e-05
14	33635.5	8.3908712961136e-06
15	47193.0	4.2725123167241036e-05
16	46630.9	0.00010828829180235558
17	43364.2	5.030374423372557e-05
18	50000.0	7.372856462024963e-05
19	43020.4	6.274979495607783e-05
20	46868.9	4.9408188752013265e-05
21	50000.0	0.00013367069444339408
22	50000.0	9.415125465172472e-06
23	50000.0	0.00022514957213532431
24	45513.3	1.534608876647497e-05
25	47060.6	0.00037369632695083004
26	50000.0	3.9382636915190954e-05
27	46891.4	6.802077586054263e-05
28	50000.0	0.00016817748976086515
29	42150.5	3.671669986038291e-06
30	43409.2	8.131601092468379e-06
31	46924.3	0.0001055098935007448
32	50000.0	3.8731775157015005e-05
33	39785.1	6.127978290227122e-05
34	40415.3	0.00027505713018907067
35	41643.8	4.910618389988066e-06
36	36682.2	3.542423090877719e-05
37	43840.0	0.00021225302773758255
38	46654.4	0.00011617943373507924
39	43065.0	2.308953173541748e-05
40	46834.3	3.5921745068525287e-06
41	46246.0	1.567520291320665e-05
42	50000.0	5.940096845929359e-05
43	50000.0	2.0563436230952615e-05
44	36964.5	7.408324672721737e-06
45	46371.3	8.060036804335594e-05
46	50000.0	5.963996351607089e-05
47	46760.3	3.82581803233196e-05
48	42024.7	1.0814137582870855e-05
49	46902.2	4.412755655738095e-05
50	50000.0	132.81234155949545
51	50000.0	75.53182569826491
52	50000.0	106.29035879008147
53	50000.0	345.2058752286081
54	50000.0	310.6398590668781
55	50000.0	291.93324080745094
56	50000.0	290.68431867940205
57	50000.0	259.0025945043356
58	50000.0	66.24473182752337
59	50000.0	88.21572383631984
60	50000.0	53.91630585712793
61	50000.0	326.88412272595247
62	50000.0	536.7271033461054
63	50000.0	200.572823600816
64	50000.0	485.5594548199653
65	50000.0	359.30110506576784
66	50000.0	236.1670746975923
67	50000.0	37.06779559507265
68	50000.0	74.53479813372162
69	50000.0	155.07003883488477
70	50000.0	168.37136642184353
71	50000.0	188.6449332736556
72	50000.0	38.1047156136743
73	50000.0	28.142544533691012
74	50000.0	193.16541679842288
75	50000.0	142.87814200673566
76	50000.0	158.3899827600919
77	50000.0	411.4054989831886
78	50000.0	223.35347635191857
79	50000.0	360.6559859385318
80	50000.0	378.17647877049905
81	50000.0	229.97278100154932
82	50000.0	40.02273650205725
83	50000.0	311.45256541348124
84	50000.0	589.8267231334191
85	50000.0	227.58156483455923
86	50000.0	397.87008938698483
87	50000.0	131.97193030191283
88	50000.0	157.97462591704362
89	50000.0	456.365964684764
90	50000.0	19.748190163955577
91	50000.0	265.93188224916224
92	50000.0	278.31657059708664
93	50000.0	343.3257493755946
94	50000.0	345.21187960976624
